date,open,high,low,close,volume
2020-01-02,48.56,48.56,47.2,47.53,4639292
2020-01-03,47.4,47.66,47.32,47.46,2970941
2020-01-06,47.5,47.71,47.33,47.55,2471972
2020-01-07,47.32,47.69,47.24,47.52,2187744
2020-01-08,47.65,47.86,47.51,47.62,2689416
2020-01-09,47.56,47.98,47.53,47.87,2249050
2020-01-10,48.0,48.28,47.6,47.64,4093187
2020-01-13,47.7,48.07,47.7,47.77,2537229
2020-01-14,47.72,48.06,47.45,48.04,3167842
2020-01-15,48.17,48.66,48.15,48.45,2789373
2020-01-16,48.16,48.97,48.16,48.78,3425701
2020-01-17,48.87,49.14,48.5,49.06,3251179
2020-01-21,48.91,49.32,48.84,49.3,2854072
2020-01-22,49.53,49.91,49.44,49.89,3359120
2020-01-23,49.84,50.37,49.76,50.35,3138595
2020-01-24,50.32,50.75,50.08,50.47,2428705
2020-01-27,50.42,50.77,50.03,50.26,2646999
2020-01-28,50.32,50.83,50.27,50.69,2410376
2020-01-29,50.72,51.07,50.56,50.97,2948382
2020-01-30,50.89,51.04,50.51,50.98,4560602
2020-01-31,50.96,51.05,50.38,50.79,5893276
2020-02-03,50.96,51.53,50.84,51.5,3444991
2020-02-04,51.51,52.26,51.35,51.49,4569146
2020-02-05,51.43,52.055,51.4,51.91,3103421
2020-02-06,51.53,51.64,51.23,51.25,3346489
2020-02-07,51.03,51.52,50.79,51.23,2784842
2020-02-10,51.25,51.42,50.88,51.36,4385401
2020-02-11,51.53,51.69,51.36,51.54,2588714
2020-02-12,51.53,51.75,51.3,51.48,2566092
2020-02-13,51.58,52.04,51.39,51.98,2374389
2020-02-14,52.02,52.24,51.86,52.23,2453927
2020-02-18,52.39,52.52,52.13,52.27,2501824
2020-02-19,52.26,52.29,51.99,52.15,2511889
2020-02-20,52.13,52.2,51.71,51.79,2594486
2020-02-21,51.7,51.88,51.39,51.57,5933281
2020-02-24,51.22,51.48,50.62,50.63,4427591
2020-02-25,50.71,50.87,48.83,48.89,4461062
2020-02-26,48.92,49.38,48.29,48.3,4162410
2020-02-27,48.06,48.36,46.23,46.23,5319517
2020-02-28,45.23,45.23,43.57,44.53,9412792
2020-03-02,44.79,47.42,44.67,47.32,5894514
2020-03-03,47.2,48.17,45.82,45.92,7906680
2020-03-04,46.66,48.51,46.27,48.5,5367342
2020-03-05,47.52,48.27,46.56,47.13,6141779
2020-03-06,45.73,46.69,44.73,46.48,5994924
2020-03-09,43.52,44.25,39.25,42.93,10151907
2020-03-10,43.94,45.17,42.92,44.95,7230537
2020-03-11,43.69,44.35,42.48,43.13,8568123
2020-03-12,40.15,41.61,37.95,38.52,7351921
2020-03-13,40.69,41.25,38.72,41.24,6070123
2020-03-16,37.7,39.76,33.87,34.3,6701869
2020-03-17,35.26,40.49,32.91,40.11,9171650
2020-03-18,37.49,38.69,33.56,37.2,7175188
2020-03-19,37.32,37.36,33.5,35.99,5291132
2020-03-20,35.97,36.7,33.98,34.28,5393462
2020-03-23,34.02,35.75,32.0,33.19,6180390
2020-03-24,34.21,36.02,33.91,35.48,5400229
2020-03-25,35.33,37.29,33.58,35.5,5194167
2020-03-26,35.47,39.27,35.42,38.67,4915505
2020-03-27,37.36,40.33,37.11,38.6,5802961
2020-03-30,39.19,40.91,38.31,40.49,6295921
2020-03-31,40.03,40.83,39.11,40.07,7704463
2020-04-01,38.33,39.32,38.14,38.86,6979869
2020-04-02,38.23,40.52,38.23,40.0,4823547
2020-04-03,39.58,40.27,37.56,37.95,3445045
2020-04-06,39.37,41.9,39.37,41.36,5157836
2020-04-07,42.43,42.76,40.39,40.47,6177593
2020-04-08,40.72,43.59,40.4,43.23,3674691
2020-04-09,43.77,45.32,43.77,44.75,5735721
2020-04-13,44.11,44.5,43.06,43.93,3003843
2020-04-14,44.86,45.77,44.6,45.47,3512079
2020-04-15,44.32,44.65,43.63,43.95,2454160
2020-04-16,43.99,44.96,43.38,44.86,2752731
2020-04-17,45.73,46.36,44.8,46.21,2451689
2020-04-20,45.82,45.82,44.32,44.49,2836937
2020-04-21,43.77,43.94,42.63,43.2,3796162
2020-04-22,44.07,44.55,43.17,44.22,2465204
2020-04-23,44.45,44.64,42.78,43.03,3190611
2020-04-24,39.99,43.3,39.34,42.32,5716676
2020-04-27,42.6,43.88,42.44,43.51,4457820
2020-04-28,44.01,44.22,42.45,42.64,4192287
2020-04-29,43.32,43.84,42.26,42.35,3153623
2020-04-30,42.01,42.22,40.62,41.27,3106592
2020-05-01,40.88,40.88,40.22,40.84,3313747
2020-05-04,40.83,41.32,40.31,41.19,3289943
2020-05-05,41.47,42.28,41.44,41.68,2805643
2020-05-06,41.37,41.57,39.93,40.0,3960069
2020-05-07,40.48,40.74,40.01,40.21,3281030
2020-05-08,40.74,40.91,40.13,40.6,2609694
2020-05-11,40.36,40.71,39.66,40.42,2901747
2020-05-12,40.54,40.8,39.56,39.6,3945271
2020-05-13,39.43,39.55,38.72,39.05,3772470
2020-05-14,38.65,40.13,38.14,39.96,4154898
2020-05-15,39.57,39.94,38.63,39.29,7448084
2020-05-18,40.42,41.28,40.39,41.11,3001910
2020-05-19,40.92,41.11,40.33,40.36,2477818
2020-05-20,40.69,40.84,40.14,40.28,3012388
2020-05-21,40.11,40.73,40.03,40.43,2947391
2020-05-22,40.33,40.73,40.23,40.64,2802463
2020-05-26,41.43,41.62,40.64,40.71,2348226
